;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period] - COST OF SALES;;;;;;;;;;;;;;
;July 2017 To June 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;Ezy001-ORG;Organic Butternut Pumpkin;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$341.49;$341.49
;Ezy0021-cut&wrap;LPG Cut & Wrap Film;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$317.03;$0.00;$0.00;$317.03
;Ezy0022-BagCut&Wrap;CP LPG Vacuum Bag - BNUT C&W;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.84;$0.00;$0.84
;Ezy0024;PFG - Coles C Crates;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$18.46;$3.33;$21.79
;Ezy0025;Bag 1kg Chilled / Frozen;$0.00;$12.03;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$12.03
;Ezy0035;1000ltr Aseptic Liner - Maxi;$0.00;$0.00;$0.00;$0.00;$0.00;$47.92;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$47.92
;Ezy0036METPET;200kg Aseptic Bag MET PET;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($242.03);$0.00;$136.47;$0.00;($105.56)
;Ezy0037r;15kg (20Ltr) Aseptic Bag;$0.00;$0.00;$4.97;$0.00;$0.00;$0.00;$0.00;$0.00;$37.17;($38.20);$145.70;$0.00;$149.64
;Ezy004;Bag 6 kg Chilled / Frozen;$0.00;$0.00;$0.00;($1.53);$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($1.53)
;Ezy0043D;Drum 200kg with Lid and Lockin;$0.00;$1,116.89;($183.81);$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$933.08
;Ezy0047;Bag Vegetable Bulk 5kg;$5.47;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$5.47
;Ezy0067-cut&wrap;CP Label Aldi Kent cut&wrap;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$217.62;$0.00;$0.00;$217.62
;Ezy0068-BNutC&W;CP Label Butternut C&W;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$9.00;$2.25;$11.25
;Ezy0068-cut&wrap;CP Label Aldi Butternut C&W;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$310.99;$0.00;$0.00;$310.99
;Ezy008;Raw Broccoli;$0.00;$0.00;$0.00;$0.00;($240.00);$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($240.00)
;Ezy009A;Shipping Carton 15kg;$0.00;$0.00;$0.00;($1.06);$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$4.33;$0.00;$3.27
;Ezy012;Raw Spinach loose leaf washed;($201.73);$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2,275.00;$0.00;$0.00;$2,073.27
;Ezy022;Box 6x2kg Pumpkin Puree Frozen;$648.45;$482.61;$532.35;$581.27;$624.29;$583.41;$621.59;$436.16;$521.50;$688.44;$354.92;$236.72;$6,311.71
;Ezy022C;Box 6x2kg PumpkinPuree Chilled;$0.00;$0.00;$0.00;$0.00;$0.00;$30.50;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$30.50
;Ezy031;Box 15kg Butternut PumpkinPure;$102.73;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$102.73
;Ezy031-ORG;Box 15kg Organic Pumpkin Puree;$0.00;$4,701.57;$1,086.50;$3,792.86;$5,057.15;$0.00;$119.02;$1,264.29;$1,608.16;$1,619.72;$5,507.06;$5,183.11;$29,939.44
;Ezy031-Tempered;Box 15kg Butternut Pumpkin Pur;$3,759.62;$662.95;$0.00;$0.00;$0.00;$1,033.41;$1,045.07;$1,014.15;$781.86;$1,782.78;$1,866.82;$813.79;$12,760.45
;Ezy041;Box 6x2kg Potato Mash Frozen;$259.30;$192.94;$288.72;$593.45;$208.54;$112.27;$96.22;$192.43;$1,314.95;$1,170.65;$433.15;$1,331.57;$6,194.19
;Ezy041-1kg x 12;Box 12x1kg Potato Mash Seasone;$3,183.15;$5,349.38;$3,845.31;$3,449.33;$7,459.91;$4,371.58;$4,511.41;$2,222.47;$6,391.89;$3,454.28;$2,966.07;$1,791.97;$48,996.75
;Ezy041C-LS;Box 2x6kg Low Sodium Potato Ma;$8,529.81;$6,774.00;$0.00;$8,329.97;$9,392.90;$0.00;$5,253.30;$4,554.67;$19,463.24;$6,506.62;$11,258.08;$3,993.20;$84,055.79
;Ezy041C-S1;Box 6x2kg Potato Mash with Cre;$2,133.81;$2,283.42;$1,598.24;$1,867.24;$3,581.08;$2,917.14;$3,787.94;$1,675.16;$1,673.96;$1,271.05;$2,163.05;$2,112.51;$27,064.60
;Ezy041C-S2;Box 6x2kg Potato Mash Sea Froz;$390.83;$167.49;$0.00;$404.77;$0.00;$334.61;$0.00;$167.11;$222.81;$167.11;$194.97;$194.96;$2,244.66
;Ezy041F-CP;Box 6x2kg Sea Potato Glendale;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$9,829.74;$3,276.58;$0.00;$13,106.32
;Ezy041S-500;Box 12 x 500gm Potato Mash wit;$595.17;$754.15;$697.42;$496.55;$1,049.54;$283.68;$651.20;$587.10;$651.20;$663.97;$784.69;$500.83;$7,715.50
;Ezy042C-S1;Box 2x6kg Potato Mash & Cream;$179.41;$228.67;$318.03;$233.69;$329.58;$326.96;$324.16;$269.47;$377.24;$107.79;$215.71;$161.90;$3,072.61
;Ezy043-ORG;Box 15kg Organic Sweet Potato;$0.00;$1,528.81;$1,663.70;$0.00;$0.00;$0.00;$82.69;$0.00;$2,528.25;$2,528.25;$5,317.34;$2,772.35;$16,421.39
;Ezy044;Box 6x2kg Sweet Potato Frozen;$36.54;$42.90;$71.92;$0.00;$4.80;$0.00;$0.00;$86.40;$379.17;$14.40;$14.40;$0.00;$650.53
;Ezy046;Whole Peeled Chat Potatoes;$650.00;$630.00;$559.99;$630.00;$630.00;$569.99;$560.00;$560.00;$610.00;$670.01;$730.00;$700.00;$7,499.99
;Ezy049;Box 6x2kg Yam Puree Frozen;$0.00;$0.00;$0.00;$202.04;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$202.04
;Ezy051;Box 6x2kg Broccoli Mash Frozen;$349.44;$240.26;$87.36;$203.52;$87.36;$145.17;$193.27;$169.12;$249.50;$829.27;$25.42;$48.94;$2,628.63
;Ezy051-15kg;Box 15kg Broccoli Mash Frozen;$0.00;$1,481.86;$0.00;$1,481.86;$0.00;$3,512.55;$4,781.76;$3,306.63;$401.75;$370.84;$0.00;$3,209.49;$18,546.74
;Ezy053;Box 6x2kg Onion Puree Frozen;$889.61;$0.00;$0.00;$646.93;$0.00;$1,345.61;$0.00;$0.00;$0.00;$525.34;$156.80;$916.76;$4,481.05
;Ezy055;Box 6x2kg Green Pea Mash Blend;$15.79;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$15.79
;Ezy056;Box 6x2kg Green 100% Pea Mash;$0.00;$0.00;$0.00;$0.00;$23.00;$0.00;$0.00;$0.00;$0.00;$0.00;$9.12;$0.00;$32.12
;Ezy056-15kg;Box 15kg 100% Green Pea Mash;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,284.42;$687.58;$1,415.81;$0.00;$0.00;$3,387.81
